candidate,run_date,row_index,source_asset_id,expected_pot_number,detected_numbers,detected_count,match,image_missing,ocr_text_preview
center_tall,2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2,"3,2,1,4,24,5,9",7,1,0,"Va! x, Scat F Wee an een ie ey fe i 3h ce SN RES Te ay SOUZA hs ""3 re Bt ‘yy Ae COE Gast \ Weary a Laake a i: Ars ea Oy bere. . 2 eee 1 ae we ape y Beye tte mee S50 3 eI te er gets"
left_tall,2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2,"2,4,24,3,5,34,7",7,1,0,"Bore ff Bie . Seeneren fi a NESE Naa eee rales: San aaa eD a3 a te ae SNS AW as \* ae ; ae ¢ XQ ! PaaS face gs pe “A Ava peat aun Pad aa strairy ORME RRL ae AAP WA, fae A Pies gay "
right_tall,2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2,"4,7,3,9,1",5,0,0,"OY rf Ey ica AES GEE || a ae y ‘4 Sean, te \ ‘ya eS ha Ney % aay Las i es | fea RIS aS a9 ea ef NAY * 7 78 ze QS Cte 44 NA io RN 2ekl as oo mes sh ee 3 ih, ». us & PSU y Al oN Yi 4"
wide_tall,2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2,"7,4,1,9,2,5",6,1,0,"we Sahel EN Meyers SY SK Vesey rf Ee Ny, - Sad ese ae em RSs A Soret A ah Sere L SOSA RES 7 ‘ CR er Se Ee PACU Ney v5 sy ys, words ta Wage = s “eS ene me ee APS ue ew 7D (rut: ~~: "
narrow_top,2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2,"4,3,2,34,7,5",6,1,0,"> |, We oe rN fe f/- MEE Wen des ae wee Ee AREY Ea en REP APN SN het SAAS Te DOA AER Ma Oy eA uo rte APN CS arog OB eee || Nii ares a yim 54 fete J ay swe Ca i es AS Ke o ae aid ef"
broad_top,2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2,"2,4,5,3,9,18,1,7",8,1,0,"NIA py Ven OF ee | FS A? TSE EME yy > te 2 Say At. ary - AEN Brig ry Sly See: | esteemed NS ag CE ah \ s rem 4nd BRE are ote 4 eo "" NAS IKe S. Ce CLS pot THEO AN it” ANC RU AY _ PR"
baseline,2026-02-28,61,AF1QipOrjk-A7FWhfO-Po1FPkOKbhDU-z8hL7MYWQFmP,3,"2,3,1",3,1,0,"AT setewied VAYY ZA SSR - ie ahs A (res. PRET OLD OS ein ae aan Be ia ea . me || Ce LAr Ne Sas h e] - wad, ih ae bs $2, im Re ad oy AER eS 3 a tart Ss as as ig “T° 2 AS 3s Yi Aig a"
wide_lower,2026-02-28,61,AF1QipOrjk-A7FWhfO-Po1FPkOKbhDU-z8hL7MYWQFmP,3,"2,34",2,0,0,x on tS en Ax i a ae we SES. BEER oA > Bayh aE PA ae | SRE Soe sar eke ae Tay9 AWG S EEE OE PEE} | EEG Bar SRebaeeteD Se ah We Ne - SONG ed || 4m bes .% a Mie afer g Lats So. & iw 
center_tall,2026-02-28,61,AF1QipOrjk-A7FWhfO-Po1FPkOKbhDU-z8hL7MYWQFmP,3,"3,7",2,1,0,"Ly e i a ie Nest Zon . iA MESES PCE SER a he ¥. * i) ‘ tie) ; x Ag Se me YN Nee Rs , phere Seay CT Sy y ts ERTS RGA OSA eS i ae “ Seat Ags Co Of ote ; fe aro : ee nes, ice eae ear]"
left_tall,2026-02-28,61,AF1QipOrjk-A7FWhfO-Po1FPkOKbhDU-z8hL7MYWQFmP,3,"24,2,3,4",4,1,0,"SARARGY fen Vp. Nee Sg Tae Ce a es A NN re € 24 ap q ney T ig NEke A ANE NR ee SN Bn LE SEG Re OV ott Pa 2 Ce oe TTS || ef RL fhe j ¢ “3 1S a SS sk hs, RSS le 4 Ae 0 cr? xt me Sos "
right_tall,2026-02-28,61,AF1QipOrjk-A7FWhfO-Po1FPkOKbhDU-z8hL7MYWQFmP,3,"7,4,3,8,1",5,1,0,"\ eA EN Fe W eee Vos ag. PN yet AKA oo 7 an , ae Mig fos ee ™. ae vA: . a SS Syd cere al ae Poesy phy eR EATS CAD fol He SOR BES SS = \s ZS dy (Ante ae PERSE $ PRIN aes =e ‘ + 4 aa"
wide_tall,2026-02-28,61,AF1QipOrjk-A7FWhfO-Po1FPkOKbhDU-z8hL7MYWQFmP,3,"7,4,2,3,8,1,20,5",8,1,0,7 a * we a‘ WY pas Pony | Tf Nhe 4 YD AES SOURS tt Waves Nes RRS CRO ae wee thy. \ye FEN @ & the bea 2 > 7 RiGee ing Scher a A ie ars ATS | Dew eee a ae ci oes hn Sy | Zh en iia a 
narrow_top,2026-02-28,61,AF1QipOrjk-A7FWhfO-Po1FPkOKbhDU-z8hL7MYWQFmP,3,"7,24,4,6,3",5,1,0,"| 7 pe: aa errr ee ay ac 24 4 haces S CINE EES, | LINEN ES Oh tat SO cee Mage 6 ea Ee ty || ra vou ana 3 * bey xe we bye tae eee ‘ venis Ta (T wre a” Vs Fé TAA? Ye tye cy \ sett PR"
broad_top,2026-02-28,61,AF1QipOrjk-A7FWhfO-Po1FPkOKbhDU-z8hL7MYWQFmP,3,"1,9,3,4,5,8",6,1,0,"a Bh 47s A. bey selon hy. ~ Meu Pecan | ete of ny ST r AeA Sues, Nr e eee y eg a > “epee PRNCR RP ORIOLES a i ie Sy eee ER gies) LENS TG MA VS tat pee do een VN Ne Wao PRN fr ere m"
baseline,2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5,"4,2,10,7",4,0,0,"Te Re A =, DRE 4 Rep AL tae foes. Se AN SES Sy St xt: Bagh 2. 43 Sey os a ant peat eran ; Tee SES ea 4 RATES cee Tn oa) Peat an eet BD ME aren ‘ \ a Aen et { Pro BSS ¢ E Siete PTAA"
wide_lower,2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5,"5,1,4,9,2,3,7,27,8",9,1,0,"PN PN ee TF Peg ee ERR Ee a0 yg Oe, ey ot rm PETE eS re pe haben Later maf y ph: My, PEE ae 5 ’ >. ‘y wa teh eyed CoS ‘ : 1? ~ ~ asst oy if a ve OEE Reha 4 eae oF Re RAR Rg ras Kag"
center_tall,2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5,"28,4,7,2,9,8,3",7,0,0,"ght RE Be ro UN foe rd: NG ESSE REIN gittnee SH Seay ASD at EN pe ATER SIS Oe APR IL 28 ET LA Re A PEE thee’ 4 TEN Ue PR Head ee ~ SPE as eet = , Sa 7 f= 2 oe sept alal Pat 9 INS e"
left_tall,2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5,"2,1,9,3",4,0,0,"aan aga AN Hawt. fl mA OER Sg! Day, er RI sees we eas ot bint wy CIEL © ’ Tete SA [ap ieee ie tase? Waar hene meine (farts atte ee AORN No aa rs SF, Ke ae sy vines US) hn ow 2 OLAS"
right_tall,2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5,"3,4,7,5,9,2",6,1,0,"Sata PES Ot Seog Re \ ahs Nate Saari pt pee roe i, ae ESS SS 3 4 bh EA tS . SUNS RG aA ‘ghar ‘ ; REN bere Lae Se aiid a on Re eRe RO SEP Ce are SON RTS DS has” Yeo eee aS RENE are "
wide_tall,2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5,"1,4,7,2,9,3,28,5",8,1,0,"Dito CY SY Poe Satie! ayn Pett oN mane ’ RS Rien eB al faerie a 1 4 MEER Wes pe Ne CEA Rice nl) ate Sata ’ Caine pelt © Se aS ie are, ah . OO Lae take Bon CR are Re a at aon Ae Ser"
narrow_top,2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5,"5,3,4,6,2,7",6,1,0,ay. . / ae * y fe » Pr el ya AN Be Nuria a alm Batt’ NORE Sac A SD ae i Oe WS ee Ra P CRE Reset re as fats RRR et at F gh Se OS : Pere ee gy ORE Tne ey Se ee ee Soe a Ne . an err a
broad_top,2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5,"6,4,3,1,2,8,7",7,0,0,"\. \ ° sty aC oy fo N re ec - lad ~ F $ , we IN, Fe oF <n je A ELS arg hg 6 \ re heer te DRERE e ReRT Ae, 4 . Rite, OM PP eee PE ae ~ ma ESAT La atin oe IT pe EN 3 \. aoe Ey) p cee"
baseline,2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6,"2,4,5,3,6",5,1,0,"Pee WA NS fe SE \\YSERS eA eps NWR RONSON SS Ae Ci ine VY ANS SY Sot cual atone \ (Sk || 2. ne"" , aoe a at ot oe au va to yeah We ty Sa) os, we 4 Sa Xe. ing ee, aM aN oo ws Ns £5 3"
wide_lower,2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6,"5,4,2,3",4,0,0,"Career aN MRR aes Pes Rs ASR WV VCR Res are ra US, ANAS ES ese Paha SENS, \\\Wae ees SRS aed | \\NRRES Ses Pre een pee: NN SR Sh eT ig Coe tok RERN CT RECON BGatiromectisgs > \W ER"
center_tall,2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6,"7,4,2,3,5,24",6,0,0,"~< ian 7 mura ae . 4 g ' ee en a an N “sg ‘WA ee eA (Aes Le Bo erage A Beat th wig Peres Tea 0 Sn ae \ Yeas Se RON, pre eae: NE: Sas an Ya ie Fatal home Gee || ve i LZ Pa Ped T k d"
left_tall,2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6,"4,3,5,7,2",5,0,0,"R} ae aah AS dare ode ge VN Re Se EAN Nek ae se gO bee issn \\\Nas (oa PORT or te het ero ANNES pects etic MTR S\N RS Pa eel ase. | \\NR aA, WEB sted are Cae . “Was ee rae ANA: bee"
right_tall,2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6,"7,9,2,3,4",5,0,0,". "" - a mnt ee .. vk s WY? . : . pene SoA “Ug tides Lae C NSE a PAE MGs Ene Ss Fire GA | seteec nes eas se Absent AGS ESE Webel nin MEAN PER ERED on, NSE || ear aS pt LZ a Aw 7 1s "
wide_tall,2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6,"5,4,9,3",4,0,0,supe teae Ee NE OFS i Bee Spee sie VN ON ASS anaes eae oT NSS SS RAE ne < CES RRS BES Sent tt OE oo) \ANRR REESE ES 5 EVAN: aN ee a AS rangi CGS 11a Pe Ee howd .e t + San) eo ae We
narrow_top,2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6,"7,3,2,5,1",5,0,0,"> . a oo ty a bevel aes SNE 7dogad: 7 eee 3 \\ fees Saas sien wo VN Re TREES BEEAERIOR EER”. BER bers | aes || - —— eee rane nate, PN + pu _. LZ Ped T aay a i \\ ~ Jf 2% Poo at Can"
broad_top,2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6,"3,4,2,9",4,0,0,"_ ~ ae mo . ; — | : . NESE eT |S eet . . <% : Ne ty . - es rare Ax: NET, OS 3 ER 4 Pa id ere eer Ba i \WheaSeSsc8 rN sea Reo ae ee Ve es abe Sera \\ EN ENERO Tee pee yy Sere || —— "
baseline,2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8,5,1,0,0,"war a . ————<—— i —~ | . s , { ( ‘ a . : -.5 || ays or SED ALS B82 <N Ta ad as A cas fe AE KE o NS uy ai ™ NOP Ys me Sy ce Mes aS py PS oe ind — a — cat. ——— a ~{ 77 XN L > e=-"
wide_lower,2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8,"2,4,8,5,12,7",6,1,0,we Oe Et Ne i ray . ee - ASST pe \<e see Pde iP RR BEI. Sy 2 EER os YS ~ ot hee“ AT were Onn yee of Yee NS fee ey. Kec ‘4 woes foes a i Neen _ yes fae Te so ey - i Ve ae — || otal 
center_tall,2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8,"37,4,7,2,17,3,9",7,0,0,"UOT. RAN NE QA Ae cig ee . IT A, 37 / A cee ek sat RS a ae, ‘i + harea SOLE Stare vw SN = —\ ' ~ ao . 4 4 ad \ ° a aS ° ; 7 || SVL AS % y as A aan) Loin SoE5S 4° ve — Se aaa tememn"
left_tall,2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8,"2,4,7,5,3",5,0,0,Ted UL ROO A EE A gE se eit i Ae; Se shea. ; . ' = nn ve SEP Serer SER TG ets ay ERS ee ET ORAL on oT ENS ed Ohh cet cee na SL QSOS al” OR BSF \ WY IS wD net ge Dame - wo. ter tee 
right_tall,2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8,"7,4",2,0,0,"ose ing roo Late ttte ~ nd \ A ve are Or Sindh Rost rhs SEAT Se WL SL ere er ew as, 0 evan) ta Sg ad a & ee ths a Ro \ ERE eae CA a ta ee Oe TG EL Le ne , ft ‘ aa™M et NE hae Py Cr"
wide_tall,2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8,"7,4,5,3",4,0,0,"- bs 7 irae oe ‘ies ain Tava Less ma - - a, a ; NS i } ny Oia ye - —_ : i , a bees sf gabetrt: Aca L r etd Ah . Yt Das Ae . uaa SPeP ELSA SALT NS. eS RAI ee ares | NM Se ee We IN Y"
narrow_top,2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8,"4,7",2,0,0,pass on : ret Rost rhs OI Specs | WKY Ie Sep Raa RRR ate ea A! \ Wer pk SOHN —— } j || ISS oN ati 4 a io neg ee rN es) (ee ae Bessf 4° — —— loki G f- rel 47 Eo “- ‘ 3S M8 ct Sree E
broad_top,2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8,"4,8,2,5,3,7,17",7,1,0,eno tT ee mah Nari Seer a) ce ay i a \ +. Ne Glee a). Sop BL ET POS | Tee te ed Peas \4 va RN Ey 8 on seh | ae eet A - oe PY ERS RATES eh aos mode \ Rae ef 2 AN Cac ee Wet 8 ee Whe
baseline,2026-02-28,67,AF1QipPKAdWgPHFVm5YG1Ft_YdGrU-SAq31-0FoUtN-l,9,"7,4",2,0,0,"{: ON 7, ‘oo . paren . Ne “q . Arends Eee “. Ade yayeute : n\n ets ra CAR Se nea || { ' a A ity Se mn! Af wnt ft 4s “a ke ol Vy Ses yn MY 4 yy FERS are a t ta na yee yw { y° yey aa"
wide_lower,2026-02-28,67,AF1QipPKAdWgPHFVm5YG1Ft_YdGrU-SAq31-0FoUtN-l,9,"7,2,4,34",4,0,0,"ve VAR see ee UE t ae Cena 7 nan) ‘a P| a ELS, tet . my whe LE ot ‘ ~ : - ae a ‘ : Lane Soares, Se) ‘ye. . Thee Wane 2) . in ae BPN at AOS a4 um aw ye oy. A Se Cae Shen da as aS an"
center_tall,2026-02-28,67,AF1QipPKAdWgPHFVm5YG1Ft_YdGrU-SAq31-0FoUtN-l,9,"8,7,4",3,0,0,"! *. Nat s ee a QE ‘ eed Af ‘ ba <8 ee > “%, ier UPC t a ace ae COON) earrvettt [: ‘.: Hisdis oe fa x ‘oo , ; is o a ee ' . “| f° Cubkcbaste 44 ‘ i ke . ey fe at NERA Natak wien ti"
left_tall,2026-02-28,67,AF1QipPKAdWgPHFVm5YG1Ft_YdGrU-SAq31-0FoUtN-l,9,"8,7,4,40",4,0,0,"be { Mi ! . | ga we PN i Cys ey ‘ C Wave. ee : Se saree 1s ad - 8 Stary \f t 7 ; eek re ie a8 ty . i BYU fs core) a Lae BS a pea’ cr Ny “ Nate tea "" LS! QA S. aloe Cook hy PARSER a"
right_tall,2026-02-28,67,AF1QipPKAdWgPHFVm5YG1Ft_YdGrU-SAq31-0FoUtN-l,9,"7,5,4,2,40,35,8,1",8,0,0,‘ 7 . { ' Led f em SEN Rae “ys saree ey ane a 5 a ¥ sy MaMa A} Kase ae” ' + aye Pate | ‘ Stititeae ey eS 4 » . ' e 2/ Ps ene Ve Gs! so Hin Vite GALE OSL kare rar OT os A eng \ LI i
wide_tall,2026-02-28,67,AF1QipPKAdWgPHFVm5YG1Ft_YdGrU-SAq31-0FoUtN-l,9,"9,4,6,7,40,3,1",7,1,0,": - oo‘ , . “| { aw . \ ! . | sew TNL : . rd eater A i nt ee t yg et we Ee! oo =e grey! ee aan aye? Se oh aes . J ete Ee ey Pat ‘ ~ : - ty ail / 9 ary \f rs Lf 4 fY ay ay Se SA, oe"
narrow_top,2026-02-28,67,AF1QipPKAdWgPHFVm5YG1Ft_YdGrU-SAq31-0FoUtN-l,9,"1,4,40",3,0,0,"eee . a | { Len. ! *. Nat s | psf lan “acly ae wt | nik Saas ,% ms le & Dara e ae Wit Say bee. fr Cr ad tee [: \- Hisdis oe ; ‘ ay : - ae eet ad - BB acpend the Sa Man eee Soy 1. U"
broad_top,2026-02-28,67,AF1QipPKAdWgPHFVm5YG1Ft_YdGrU-SAq31-0FoUtN-l,9,"7,4,40,1,8",5,0,0,¢ i _ . > Pre Vote Pry Re . { ~ . ye pgs Ne rosters “Qe if a echt fhisy a a . ae eerwet bree \ Y . ~ wee i’ ange oF ee [: A Hides ie eae ies ‘ ws ee ce Zils i > -= eee 7 ae bas ay 
baseline,2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10,"9,5,22,24,8,7,4",7,0,0,"se ee t«é‘ié S22 9 pe ’ ied we. ea, bo eS OREN NORE “orth FOTN he NTE | Beak (NSE DANG a ee aR “MEE Ph SAA RRL AS thes fa ens a Bp || 5 ake a 22 | lorries: aaa T : Se Sek Coen Aas)"
wide_lower,2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10,"2,5,20,7,1,22,4",7,0,0,"“S kt Rey cf - + ge, VO efed yes BER Rens By Sgpeasseey [0 bits, oped 2 2 aN ‘ ae Wry hee er WP ASS OF ee veo ory yenereera lc ENGNG RN) * 5 REISE Titan eRe. sy i . iS paces BVT Re"
center_tall,2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10,"4,22,2,1,3,9,6,7",8,0,0,"| Vater Ac ee: PRES . ’ a NS oe Dy oe RS perecee I a an aaa go Boe Os 59 SOT koa ""4 he eee a ory RY SAE okey, a he Hae yay PE tg Re an el apeanmamategss ae — 22 ea gee 2 eres a ae "
left_tall,2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10,"4,5,9,6,2,1,22,7",8,0,0,"uy] her 4 PN By oot Y penne ead RE Bs ES..G 5 eae ye Peteekc San wR po ar EAC nah bi : on sarees aor EY avi pyre, to, A ae . 4S OYe eS aa Me oat om i we Vel SoA gaye | ty ae eres <"
right_tall,2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10,"2,12,5,7,1,3,9,6,4,24",10,0,0,"aot SS ee tee Les eet anes hea Sigs. Rk oe So tr 2s Gh er Saar BON SSO SREATE Sp a Aiptek, RES A es ay ancy E ee et NCHRP Rees Pes in =. 2 2 12. peraEk, >y ' Sug Feed te WG oe 5 MR"
wide_tall,2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10,"5,4,1,2,3,9,7,22,24",9,0,0,"pte. Shy ae, as an 5, acd a. we he. ‘ S ne Hy ytd 4 yA on * eur ian A Ay Nee oy el ee CST A aeNo At asta Er ‘ ee 4 -, Oe tg ee fee eer AY ca 1. Ss as meme: 2 % Be. ane wk PASSE \~."
narrow_top,2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10,"1,2,4,5,3,6",6,0,0,"er et Aen ists . Sy 1 ies Pokey Oo tee TOA Sard ics Do sae en . 2 = veg Art? polly: AES NO erg RRS ARES ee Aes See SE Ste} 4 tes Aig Ree pie, PY Aan CS y ey 1 RSE SEY Phy SA PON a "
broad_top,2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10,"4,7,3,40,9,1,22,8",8,0,0,"a a ne A Sal ree ae ven Xe 4 on ab 7 ak VS 3 q.. co 40° 4 Mn iy, oe , mm ' wy 3k $y: . AY . if ion 4 ie od Pt) ri iat ‘ Sy RS Omer» pecae 4 Re, ii SRR ee oe fae ght? ~ elie tne Pe "
baseline,2026-02-28,69,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,11,"4,5,3,7,2,1,9",7,0,0,"Re ey Ay vw Mow 4.5 3 FF = za. oe., .. Fao 7 OM 2 fa en ak, rey SK ES an TPs on rae ae : 4 SPER S. is ! ¢ pened 1 ag * wh o> wf RO DS a cae ag xis £ Ty 1A ed SAS GM ey FE ze An Al "
wide_lower,2026-02-28,69,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,11,"22,2,5,8,27,4,35",7,0,0,". . eet oe AN Tee FR ER ge ' PN ae, Song ete Cre os |. BO"" PVG ine! rae hy oe . (FEE OG 22 a eee ee pee Ray) | eh EGG ee (sth ae 2 m\e 5 re Og tte aL Te: Se Thy she ae | aidan TACT"
center_tall,2026-02-28,69,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,11,"4,7,5,2,9,22,3,8",8,0,0,"Ww tiq A \ A “4 \ e . a . TAL ian .f rt St PEALE Prt ye pe ”. Ss aN aS pied oo —_ , Sears este t al “<* ze PUT. by 7 “ MES eS ** - = a 7 ae Ae {i Po Seite Ve. ee . “oT eae ce . Ye."
left_tall,2026-02-28,69,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,11,"4,1,7,9,6,2",6,0,0,~f J } a 4 * { \ 4 rte aude Saf Cat rw mn NPA. A ne wed Ww Bese PN re al; & Lb ere > NZ oan xd f- were: BoA * Apt tng? L2B qi -pAre i Ran bate tyke f Sod eo a~} MER iN A eT WS be a
right_tall,2026-02-28,69,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,11,"3,34,7,5,9,8,4",7,0,0,", A ee ra \ wre fF . ‘ ye > ors a rh See RS fo SP SENT © aot tee ty ae : AL eA eet ie ay oe hy ne ’ wey ee 2B TS EA af ant Sank rt RA ag ie BU Sere aA ARTS a as wh LAST T SS eT A S"
